2019학년도 1학기 개설 교과목 현황,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
단과대학,개설학과,학년,이수구분,"트랙
이수구분",트랙,학수번호,분반,과목명,학점,담당교수,"수업
구분",강의요일 및 교시,강의실,비고
과학기술융합대학,첨단미디어전공,3,전공과목,,,0AEN5037,2,3D스컬핑&페인팅,2,김성훈,주간,수1~3,아)조형215,"첨단, 산업애니, 애니, 게임만 가능"
과학기술융합대학,첨단미디어전공,3,전공과목,,,0AEQ9195,1,스톱모션2,2,,주간,수1~3,아)조형213-1,"첨단, 산업애니, 애니, 게임만 가능"
과학기술융합대학,첨단미디어전공,3,전공과목,,,0AEQ9195,2,스톱모션2,2,,주간,수5~7,아)조형213-1,"첨단, 산업애니, 애니, 게임만 가능"
과학기술융합대학,첨단미디어전공,3,전공과목,,,0AEN3041,1,캐릭터연구,2,류유희,주간,목5~7,아)산학1호312,"첨단, 산업애니, 애니, 게임만 가능"
과학기술융합대학,첨단미디어전공,3,전공과목,,,0AEN3041,2,캐릭터연구,2,류유희,주간,목1~3,아)산학1호312,"첨단, 산업애니, 애니, 게임만 가능"
과학기술융합대학,첨단미디어전공,1,전공과목,,,0AEQ9142,1,프레젠테이션실습,2,,주간,금3~4,아)예술B03,
과학기술융합대학,첨단미디어전공,1,전공과목,,,0AEQ9143,1,크리에이티브발상론,2,임장한,주간,목2~3,아)예술B01,
과학기술융합대학,첨단미디어전공,1,전공과목,,,0AEQ9145,1,시장환경분석,2,김인경,주간,월3~4,아)예술B02,
과학기술융합대학,첨단미디어전공,1,전공과목,,,0AEQ9164,1,정성조사실습,2,류문상,주간,화5~6,아)예술B03,
과학기술융합대학,첨단미디어전공,1,전공과목,,,0AEQ9189,1,문헌조사방법론,2,공지현,주간,수5~6,아)예술B03,
과학기술융합대학,첨단미디어전공,1,전공과목,,,0AEQ9193,1,디자인산업연구,2,,주간,월5~6,아)예술B02,
과학기술융합대학,첨단미디어전공,2,전공과목,심화트랙,미디어기획트랙,0ADG4309,1,라이프스타일산업분석,2,임장한,주간,목4~5,아)예술B02,
과학기술융합대학,첨단미디어전공,2,전공과목,심화트랙,미디어기획트랙,0AEQ9165,1,기업문화론,2,,주간,수4~5,아)예술B02,
과학기술융합대학,첨단미디어전공,2,전공과목,심화트랙,미디어기획트랙,0AEQ9166,1,미디어스타일링,3,,주간,화1~3,아)예술B01,
과학기술융합대학,첨단미디어전공,2,전공과목,심화트랙,미디어기획트랙,0AEQ9167,1,마케팅특강,2,류문상,주간,월3~4,아)예술B03,
과학기술융합대학,첨단미디어전공,2,전공과목,심화트랙,미디어기획트랙,0AEQ9168,1,글로벌포로모션전략,2,공지현,주간,수2~3,아)예술B03,
과학기술융합대학,첨단미디어전공,2,전공과목,,,0AEQ9169,1,거시환경분석기법,2,김인경,주간,월1~2,아)예술B03,
과학기술융합대학,첨단미디어전공,3,전공과목,,,0AEQ9174,1,사회트렌드분석,2,안현성,주간,수2~3,아)예술B02,
과학기술융합대학,첨단미디어전공,3,전공과목,,,0AEQ9175,1,소비자리서치1,2,,주간,월2~3,아)예술107,
과학기술융합대학,첨단미디어전공,3,전공과목,,,0AEQ9176,1,파이넨스기초,2,,주간,화5~6,아)예술B02,
과학기술융합대학,첨단미디어전공,3,전공과목,,,0AEQ9177,1,미디어컨텐츠비즈니스,2,,주간,수6~7,아)예술B02,
과학기술융합대학,첨단미디어전공,3,전공과목,,,0AEQ9178,1,브랜딩연구,2,류문상,주간,화2~3,아)예술B03,
예체능대학,문화예술학부,2,전공과목,심화트랙,문화기획트랙,0AEK2240,1,영상기획,2,강승한,주간,수1~2,아)산학1호202,
예체능대학,문화예술학부,2,전공과목,심화트랙,문화기획트랙,0AEK4326,1,한국전통문화론,3,,주간,목2~4,아)산학1호201,
예체능대학,문화예술학부,2,전공과목,심화트랙,문화기획트랙,0AER0047,1,대중문화론,2,김성동,주간,수5~6,아)산학1호202,
예체능대학,문화콘텐츠전공,4,전공과목,,,0AAN4215,1,지식콘텐츠제작론,3,김연제,주간(천안),월5~7,천)1호관304,
예체능대학,문화콘텐츠전공,4,전공과목,,,0AAN4216,1,영상비평과문예비평 ,3,황우현,주간(천안),수6~8,천)1호관304,
예체능대학,문화콘텐츠전공,4,전공과목,,,0AAN4217,1,문화콘텐츠필드프로젝트,3,최현규,주간(천안),화2~4,천)1호관403-e,
예체능대학,사회체육전공,4,전공과목,,,0AEC2170,1,축구,1,김재중,주간,화5~6,(107)인조잔디구장,
예체능대학,사회체육전공,4,전공과목,,,0AEC2440,1,특수체육,2,김주영,주간,수4~5,아)체육206-e,
예체능대학,사회체육전공,4,전공과목,,,0AEC3340,1,여가와레크레이션,2,김찬선,주간,월2~3,아)체육311-e,
예체능대학,사회체육전공,4,전공과목,,,0AEC4670,1,운동검사및처방,3,임완기,주간,화1~2/화4,아)체육207,
예체능대학,사회체육전공,4,전공과목,,,0AEC4680,1,스킨스쿠버,1,이종호,주간,수9~10,아)체육312-e,
예체능대학,사회체육전공,4,전공과목,,,0AEC4740,1,스포츠과학연구법,3,김경식,주간,월5~6/수7,아)체육311-e,
예체능대학,스포츠과학부,1,전공과목,심화트랙,사회체육트랙,0AEC1000,1,체육원리,2,최경범,주간,화5~6,아)체육206-e,
예체능대학,스포츠과학부,1,전공과목,심화트랙,사회체육트랙,0AEC1130,1,태권도1,1,성낙준,주간,목2~3,아)체육208,
예체능대학,스포츠과학부,1,전공과목,,,0AEC3020,1,수영1,1,이종호,주간,수7~8,(117)야외,
예체능대학,스포츠과학부,1,전공과목,,,0AEC3020,2,수영1,1,김인재,주간,목1~2,(117)야외,
예체능대학,스포츠과학부,1,전공과목,심화트랙,사회체육트랙,0AEL0004,1,스포츠산업론,2,김인재,주간,화2~3,아)체육311-e,
예체능대학,스포츠과학부,2,전공과목,공통트랙,,0AEC2040,1,테니스1,1,최경범,주간,월2~3,(105)테니스장,
예체능대학,스포츠과학부,2,전공과목,공통트랙,,0AEC2230,1,운동역학,3,성낙준,주간,월5~7,아)체육206-e,
예체능대학,스포츠과학부,2,전공과목,공통트랙,,0AEC2230,2,운동역학,3,,주간,목7~9,아)체육312-e,
예체능대학,스포츠과학부,2,전공과목,심화트랙,사회체육트랙,0AEC2250,1,배드민턴1,1,임완기,주간,목6~7,아)체육108,
예체능대학,스포츠과학부,2,전공과목,공통트랙,,0AEC3300,1,스포츠심리학,3,김인재,주간,수6~8,아)체육309-e,
예체능대학,스포츠과학부,2,전공과목,공통트랙,,0AEC3300,2,스포츠심리학,3,정일미,주간,금5~7,아)골프102-e,
예체능대학,스포츠과학부,2,전공과목,심화트랙,사회체육트랙,0AEL0029,1,웨이크보드,1,김인재,주간,금9~10,아)체육312-e,
예체능대학,스포츠과학부,3,전공과목,심화트랙,사회체육트랙,0AEC3210,1,코칭론,3,최경범,주간,화2~3/목3,아)체육206-e,
예체능대학,스포츠과학부,3,전공과목,공통트랙,,0AEC3310,1,트레이닝방법론,3,임완기,주간,월5~6/월8,아)체육207,
예체능대학,스포츠과학부,3,전공과목,심화트랙,사회체육트랙,0AEC3540,1,에어로빅댄스2,1,이지은,주간,목5~6,아)체육104,
예체능대학,스포츠과학부,3,전공과목,심화트랙,사회체육트랙,0AEC3570,1,스포츠정책론,2,김찬선,주간,화5~6,아)체육311-e,
예체능대학,스포츠과학부,3,전공과목,심화트랙,사회체육트랙,0AEC4110,1,태권도2,1,김인재,주간,목7~8,아)체육208,
예체능대학,스포츠과학부,3,전공과목,심화트랙,사회체육트랙,0AEL0035,1,휘트니스운동,1,임완기,주간,목1~2,아)웰니스센터,
예체능대학,시각디자인전공,2,전공과목,,,0AEE2510,1,포토그래피1,2,박진명,주간,월1~3,아)예술210,
예체능대학,시각디자인전공,2,전공과목,,,0AEE2510,2,포토그래피1,2,박진명,주간,월5~7,아)예술210,
예체능대학,시각디자인전공,2,전공과목,,,0AEE2510,3,포토그래피1,2,박진명,주간,월8~10,아)예술210,
예체능대학,문화예술학부,3,전공과목,심화트랙,영상미디어트랙,0AER0028,1,영상미디어산업론,2,김갑수,주간,수5~6,아)예술330-e,
예체능대학,문화예술학부,2,전공과목,심화트랙,영상미디어트랙,0AER0031,1,웹미디어콘텐츠제작실습,2,이순주,주간,금4~6,아)1공601,
예체능대학,문화예술학부,3,전공과목,심화트랙,영상미디어트랙,0AER0029,1,광고이론과제작론,2,최진용,주간,목3~4,아)예술330-e,
예체능대학,음악전공,4,전공과목,,,0AEA4400,1,지휘법1,2,김신정,주간(천안),월3~4,천)음악관501,
예체능대학,음악전공,4,전공과목,,,0AEA4560,1,오케스트라및합주지도법7,1,김신정,주간(천안),월6/목6,천)음악관501,
예체능대학,문화예술학부,1,전공과목,심화트랙,,0AEA1330,1,음악문헌1,1,김신혜,주간(천안),화2~3,천)음악관418-e,
예체능대학,문화예술학부,1,전공과목,,,0AEA1300,1,합창1,1,안형렬,주간(천안),월5,천)음악관201,
예체능대학,문화예술학부,2,전공과목,,,0AEA2600,1,합창3,1,안형렬,주간(천안),월6,천)음악관201,
예체능대학,문화예술학부,3,전공과목,,,0AEA3240,1,합창5,1,안형렬,주간(천안),목5~6,천)음악관201,
예체능대학,체육전공,2,전공과목,,,0AEH2090,1,농구,1,김형수,주간,수5~6,아)체육108,
예체능대학,체육전공,2,전공과목,,,0AEH2540,1,비교체육,3,유상석,주간,화2~4,아)체육309-e,
예체능대학,체육전공,3,전공과목,,,0AEH3220,1,소프트볼1,1,민진숙,주간,월7~8,(104)소볼구장,
예체능대학,체육전공,4,전공과목,,,0AEH3160,1,배구1,1,김형수,주간,수3~4,아)체육108,
예체능대학,체육전공,4,전공과목,,,0AEH4042,1,체육연구법,3,주종미,주간,목3~5,아)체육312-e,
예체능대학,체육전공,4,전공과목,,,0AEH4210,1,댄스스포츠2,1,이경주,주간,화3~4,아)체육104,
예체능대학,체육전공,4,전공과목,,,0AEH4220,1,세미나1,2,박정근,주간,수1~2,아)체육206-e,
예체능대학,체육전공,4,전공과목,,,0AEH4302,1,응급처치,1,이진욱,주간,화0~1,아)체육206-e,
예체능대학,체육전공,4,전공과목,,,0AEH4303,1,스포츠마사지및테이핑,1,이진욱,주간,월0~1,아)체육206-e,
예체능대학,체육전공,4,전공과목,,,0AEH4304,1,유소년스포츠프로그램,1,박정근,주간,목1~2,아)체육206-e,
예체능대학,체육전공,4,전공과목,,,0AEH4305,1,승마,1,주종미,주간,월9~10,아)체육309-e,
예체능대학,패션전공,2,전공과목,,,0AEQ2040,1,패션트랜드,2,안현성,주간,수6~8,아)예술B01,
예체능대학,패션전공,2,전공과목,,,0AEQ2141,1,의복제작기초,2,,주간,월1~3,아)예술B01,
예체능대학,패션전공,2,전공과목,,,0AEQ2410,1,스타일&코디네이션,2,,주간,화4~6,아)예술B01,
예체능대학,패션전공,2,전공과목,,,0AEQ2420,1,가방및잡화디자인,2,,주간,월4~6,아)예술B01,
예체능대학,패션전공,4,전공과목,,,0AEQ4280,1,브랜드런칭1,3,류문상,주간,수2~5,아)예술B01,
