2019학년도 1학기 개설 교과목 현황,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
단과대학,개설학과,학년,이수구분,"트랙
이수구분",트랙,학수번호,분반,과목명,학점,담당교수,"수업
구분",강의요일 및 교시,강의실,비고
사회과학대학,경영학부,2,전공과목,공통트랙,,0ABD4326,3,마케팅,3,최광섭,주간(천안),목7~9,천)1호관101-e,
사회과학대학,경영학부,2,전공과목,공통트랙,,0ABD4327,1,재무회계,3,임영제,주간(천안),월2~4,천)1호관414-e,
사회과학대학,경영학부,2,전공과목,공통트랙,,0ABD4327,2,재무회계,3,임영제,주간(천안),월6~8,천)1호관414-e,
사회과학대학,경영학부,2,전공과목,공통트랙,,0ABD4327,3,재무회계,3,,주간(천안),목2~4,천)벤교303-e,
사회과학대학,경영학부,2,전공과목,공통트랙,,0ABD4328,1,원가회계,3,김연용,주간(천안),월2~3/수5,천)벤교303-e,
사회과학대학,경영학부,2,전공과목,공통트랙,,0ABD4328,2,원가회계,3,,주간(천안),월6~7/화6,천)벤교303-e/천)1호관414-e,
사회과학대학,경영학부,3,전공과목,공통트랙,,0ABD4333,1,재무관리,3,김한준,주간(천안),월2~3/목2,천)1호관112-e/천)1호관403-1-e,
사회과학대학,경영학부,3,전공과목,공통트랙,,0ABD4333,2,재무관리,3,김한준,주간(천안),화1~3,천)1호관112-e,
사회과학대학,경영학부,3,전공과목,공통트랙,,0ABD4333,3,재무관리,3,김한준,주간(천안),목8~10,천)1호관112-e,
사회과학대학,경영학부,3,전공과목,공통트랙,,0ABD4335,1,경영정보론,3,장원경,주간(천안),수5~7,천)1호관112-e,
사회과학대학,경영학부,3,전공과목,공통트랙,,0ABD4335,2,경영정보론,3,장원경,주간(천안),목5~7,천)1호관112-e,
사회과학대학,경영학부,3,전공과목,심화트랙,경영학트랙,0ABD4336,1,소비자행동론,3,김학윤,주간(천안),화5~6/목3,천)1호관101-e,
사회과학대학,경영학부,3,전공과목,심화트랙,경영학트랙,0ABD4336,2,소비자행동론,3,김학윤,주간(천안),월5/목5~6,천)1호관101-e,
사회과학대학,경영학부,3,전공과목,심화트랙,경영학트랙,0ABD4336,3,소비자행동론,3,김학윤,주간(천안),월6/화2~3,천)1호관101-e,
사회과학대학,글로벌창업전공,2,전공과목,,,0ABV1063,1,창업학개론,3,곽원섭,주간(천안),월6~8,천)벤교304-e,글로벌창업전공 개설 교과목 중 본 내용에 미표기된 과목은 학과사무실로 문의
사회과학대학,글로벌창업전공,3,전공과목,,,0ABV1070,1,비즈니스협상론,3,이병호,주간(천안),목6~8,천)벤교304-e,글로벌창업전공 개설 교과목 중 본 내용에 미표기된 과목은 학과사무실로 문의
사회과학대학,글로벌창업전공,3,전공과목,,,0ABV1071,1,소비자행동의 이해,3,곽원섭,주간(천안),월2~4,천)1호관202-e,글로벌창업전공 개설 교과목 중 본 내용에 미표기된 과목은 학과사무실로 문의
사회과학대학,글로벌창업전공,3,전공과목,,,0ABV1072,1,사업계획서와 창업실무,3,조명호,주간(천안),화5/수2~3,천)복지201-e,글로벌창업전공 개설 교과목 중 본 내용에 미표기된 과목은 학과사무실로 문의
사회과학대학,글로벌창업전공,3,전공과목,,,0ABV1073,1,창업자금 조달론,3,이병호,주간(천안),목2~4,천)벤교304-e,글로벌창업전공 개설 교과목 중 본 내용에 미표기된 과목은 학과사무실로 문의
사회과학대학,글로벌창업전공,3,전공과목,,,0ABV1074,1,창업아이디어창출(창업캡스톤디자인),3,조명호,주간(천안),화2~3/수5,천)복지201-e,글로벌창업전공 개설 교과목 중 본 내용에 미표기된 과목은 학과사무실로 문의
사회과학대학,글로벌창업전공,4,전공과목,,,0ABV1081,1,사회적기업론,3,곽정호,주간(천안),월2~3/수5,천)벤교304-e,글로벌창업전공 개설 교과목 중 본 내용에 미표기된 과목은 학과사무실로 문의
